date,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_min_temp_year,record_max_temp_year,actual_precipitation,average_precipitation,record_precipitation,actual_snow,average_snow,snow_depth,sea_pressure,wind_speed,max_wind_speed,max_gust_speed,visibility
2015-2-16,-11,-16,-6,-2,6,-17,21,1888,1954,0.00,3.05,3.56,0.00,0.76,22.86,1021,11,34,58,16
2015-2-17,-6,-10,-3,-2,6,-20,19,1896,1976,3.56,2.79,3.78,8.38,1.02,30.48,1013,8,19,26,8
2015-2-18,-3,-7,1,-2,6,-17,20,1979,1981,0.0,2.79,3.81,0.0,0.76,22.86,1009,7,24,34,13
2015-2-19,-8,-13,-3,-1,6,-17,18,1936,1997,0.00,2.79,5.46,0.00,1.02,22.86,1009,18,32,50,16
2015-2-20,-12,-17,-7,-1,6,-16,20,2015,1939,0.00,2.79,7.80,0.00,0.76,22.86,1024,17,35,58,16
2015-2-21,-5,-11,0,-1,6,-15,25,1896,2018,15.49,2.79,4.72,7.62,1.02,22.86,1027,7,23,37,7
2015-2-22,3,0,6,-1,6,-13,20,1963,1997,2.54,2.79,6.07,2.54,0.76,33.02,1021,5,19,27,8
2015-2-23,-5,-13,3,-1,6,-15,21,1889,1985,0.00,3.05,3.51,0.00,1.02,30.48,1026,18,27,47,16
2015-2-24,-10,-16,-4,-1,7,-20,23,1873,1985,0.00,3.05,4.29,0.00,0.76,30.48,1022,9,23,37,16
2015-2-25,-2,-7,3,-1,7,-17,23,1914,1930,0.00,2.79,5.36,0.00,0.76,30.48,1011,10,24,39,16
2015-2-26,-3,-6,0,-1,7,-13,18,1990,1890,0.00,3.05,4.75,0.00,0.76,27.94,1016,11,24,32,15
2015-2-27,-4,-8,-1,-1,7,-15,22,1900,1997,0.00,3.05,3.96,0.00,0.51,0.00,1029,10,21,32,16
2015-2-28,-6,-11,-2,-1,7,-15,19,1934,1976,0.00,3.05,3.07,0.00,0.76,27.94,1041,6,19,29,16
2015-3-1,-2,-4,-1,-1,7,-15,22,1884,1972,13.21,3.30,7.49,12.19,0.51,25.40,1031,4,24,32,7
2015-3-2,1,-3,4,0,7,-12,22,1891,1972,0.00,3.05,6.12,0.00,0.51,38.10,1021,13,29,55,13
2015-3-3,-1,-6,3,0,7,-11,18,2003,1991,17.02,3.05,5.72,4.57,0.51,35.56,1023,8,23,39,9
2015-3-4,4,2,7,0,8,-13,21,1943,1974,6.35,3.30,4.19,0.00,0.51,33.02,1011,10,24,40,8
2015-3-5,-1,-7,4,0,8,-16,22,1872,1880,19.30,3.30,4.60,19.05,0.51,33.02,1020,9,23,32,3
2015-3-6,-7,-11,-3,0,8,-14,20,1872,1935,0.00,3.30,6.68,0.00,0.51,48.26,1031,10,23,32,15
